time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/loss,train/learning_rate,train/clip_fraction,train/n_updates,train/approx_kl,train/clip_range,eval/mean_reward,eval/mean_ep_length
,,,70000,,,10676.327090072631,0.8746694922447205,0.08116958573227748,-1.1920928955078125e-07,-3.8004346542060374,2557.31298828125,0.000990097133814429,0.52421875,1260,0.11176416,0.2,-4856.7413542,600.2
12,5499,601.0,70656,-5009.93861,69,,,,,,,,,,,,,
12,5527,539.0,71680,-4836.684916,70,8777.98194770813,0.8843521475791931,0.0327566004707478,0.0,-3.8604710064828396,2856.759765625,0.000990097133814429,0.385546875,1270,0.2819495,0.2,,
13,5581,604.0,72704,-3799.320676,71,8930.924866294861,0.8865208029747009,0.0031796493625734002,-0.04720139503479004,-3.8810571506619453,4852.61572265625,0.000990097133814429,0.083984375,1280,0.0035217814,0.2,,
13,5609,508.0,73728,-3224.068077,72,10254.75813407898,0.8890232443809509,0.028704630839638413,-0.007552146911621094,-3.892727229744196,1000.9368286132812,0.000990097133814429,0.27197265625,1290,0.33517593,0.2,,
13,5661,543.0,74752,-3853.029047,73,10549.02869644165,0.8893938064575195,0.008173202740726993,0.0071430206298828125,-3.88813903182745,9321.662109375,0.000990097133814429,0.1544921875,1300,0.004754193,0.2,,
13,5714,495.0,75776,-3708.536786,74,11015.789233779908,0.8942152857780457,0.017910669805132784,5.960464477539063e-08,-3.8870081774890424,984.0509643554688,0.000990097133814429,0.26689453125,1310,0.019387776,0.2,,
13,5768,509.0,76800,-4574.061966,75,16720.997679138185,0.8933383226394653,0.005244257947197184,0.011075854301452637,-3.8989670023322107,11071.8779296875,0.000990097133814429,0.15009765625,1320,0.0053733876,0.2,,
13,5796,1217.0,77824,-6256.053252,76,16194.267888259888,0.8813478946685791,0.014813046692870558,0.0,-3.8777985140681266,30714.03125,0.000990097133814429,0.182421875,1330,0.004716296,0.2,,
13,5849,591.0,78848,-4705.466049,77,8967.551065826416,0.8800886869430542,-0.0029858360619982706,0.28118979930877686,-3.858378292620182,1021.7972412109375,0.000990097133814429,0.06357421875,1340,0.006169121,0.2,,
13,5877,540.0,79872,-4262.783684,78,15804.142771911622,0.8789690732955933,-0.0014696272555738688,0.06945621967315674,-3.853689070045948,36614.71875,0.000990097133814429,0.075,1350,0.0065723085,0.2,,
