[INFO] [1686169581.853433, 0.000000]: Iniciando os testes...
[INFO] [1686169587.245565, 5661.540000]: Aguardando carregamento dos módulos do controlador de voo...
[INFO] [1686169587.247643, 5661.540000]: Iniciando os testes...
[7.8940003204345714, 3.475871683120729, 1.866105185508728]
[7.859000473022462, 3.326737047195436, 1.857263074874878]
[7.8980005073547375, 3.209598423004152, 1.86711572265625]
[5.115000038146974, 1.9660048494338997, 1.1640457973480225]
[5.086000232696534, 1.8690830478668221, 1.1567195520401001]
[5.093000202178956, 1.7862716922760018, 1.1584879026412964]
[5.126000194549562, 1.7122337827682503, 1.1668248043060303]
[5.189000396728517, 1.646936655998231, 1.182740436553955]
[5.320000438690187, 1.600683690071107, 1.2158349618911743]
[11.885000495910646, 3.4468020210266133, 2.8743522033691407]
[11.906000404357911, 3.249573589324953, 2.8796574935913086]
[11.951000480651857, 3.0578628787994404, 2.8910260066986084]
[12.02400043487549, 2.87139523124695, 2.9094679222106934]
[12.12600067138672, 2.688942075729372, 2.9352362022399903]
[1.2530000495910647, -0.20097914242744427, 0.18838797664642334]
[1.1950000810623171, -0.2089735110998152, 0.17373542642593384]
[1.1620000886917117, -0.22013954722881302, 0.16539861416816712]
[1.1380000400543215, -0.23218357467651352, 0.15933549559116364]
[1.1170000720024111, -0.24412211680412277, 0.15403026497364045]
[1.1010000395774844, -0.2566291978359221, 0.14998817598819733]
[1.0860000538825991, -0.2688587596416472, 0.1461987212896347]
[1.0730000424385073, -0.2811565091609953, 0.14291453516483307]
[1.0630000519752505, -0.2939373245239256, 0.14038822209835053]
[1.0540000486373904, -0.3067002882957457, 0.13811455821990967]
[1.0450000452995303, -0.3191516687870024, 0.13584087944030762]
[1.0380000162124636, -0.33201739096641525, 0.13407246923446656]
[1.0310000467300418, -0.34464079046249374, 0.1323040590286255]
[1.0250000643730166, -0.3574194600582121, 0.13078828310966492]
[1.021000056266785, -0.37082022333145126, 0.12977776086330414]
[1.0170000481605532, -0.3840824952125548, 0.12876723861694336]
[1.0130000400543215, -0.39720627570152267, 0.12775671637058258]
[1.0100000190734866, -0.4106584181785582, 0.1269988284111023]
[1.0090000319480898, -0.4249750366210936, 0.1267461941242218]
[1.0080000448226931, -0.4392570247650145, 0.1264935598373413]
[1.0070000576972964, -0.4535044124126433, 0.126240940451622]
[1.0080000448226931, -0.4687893381118773, 0.1264935598373413]
[1.0100000190734866, -0.4846623232364653, 0.1269988284111023]
[1.0120000529289248, -0.5006045093536375, 0.1275040820837021]
[1.0170000481605532, -0.5183800449371336, 0.12876723861694336]
[1.0230000305175784, -0.5369340171813963, 0.13028301453590393]
[1.0310000467300418, -0.5569410314559935, 0.1323040590286255]
[1.0440000581741335, -0.580424844264984, 0.13558826005458832]
[1.065000026226044, -0.6096168746948241, 0.14089349067211152]
[11.72700050354004, -7.817764877319334, 2.8344366416931153]
[7.8940003204345714, 3.475871683120729, 1.732136474609375]
[7.859000473022462, 3.326737047195436, 1.7239003047943116]
[7.8980005073547375, 3.209598423004152, 1.733077751159668]
[5.115000038146974, 1.9660048494338995, 1.0781839952468872]
[5.087000160217286, 1.8694643983840948, 1.0715950593948365]
[5.093000202178956, 1.7862716922760016, 1.073006974220276]
[5.126000194549562, 1.7122337827682501, 1.080772505760193]
[5.189000396728517, 1.6469366559982308, 1.0955976114273072]
[5.320000438690187, 1.600683690071107, 1.1264244184494019]
[12.006000785827638, 3.4824758777618428, 2.6997697219848633]
[12.026000289916993, 3.282875181198122, 2.704476104736328]
[12.072000770568849, 3.0893474826812763, 2.7153007850646973]
[12.145000724792482, 2.900785327911379, 2.732479082107544]
[1.2520000028610232, -0.20080657207965835, 0.16914533233642579]
[1.1950000810623171, -0.2089735110998152, 0.1557321265935898]
[1.1620000886917117, -0.22013954722881302, 0.1479665950536728]
[1.1380000400543215, -0.23218357467651352, 0.1423189208507538]
[1.1170000720024111, -0.24412211680412277, 0.1373772189617157]
[1.1010000395774844, -0.2566291978359221, 0.13361211276054383]
[1.0860000538825991, -0.2688587596416472, 0.1300823256969452]
[1.0730000424385073, -0.2811565091609953, 0.12702316200733185]
[1.0630000519752505, -0.2939373245239256, 0.12466997063159943]
[1.0540000486373904, -0.3067002882957457, 0.12255209839344025]
[1.0450000452995303, -0.3191516687870024, 0.12043422615528107]
[1.0380000162124636, -0.33201739096641525, 0.11878699219226838]
[1.0310000467300418, -0.34464079046249374, 0.11713975822925568]
[1.0250000643730166, -0.3574194600582121, 0.11572784340381623]
[1.021000056266785, -0.37082022333145126, 0.11478656685352326]
[1.0170000481605532, -0.3840824952125548, 0.11384529030323029]
[1.0130000400543215, -0.39720627570152267, 0.11290401375293732]
[1.0100000190734866, -0.4106584181785582, 0.1121980563402176]
[1.0090000319480898, -0.4249750366210936, 0.11196273720264435]
[1.0080000448226931, -0.4392570247650145, 0.11172741806507111]
[1.0070000576972964, -0.4535044124126433, 0.11149209892749787]
[1.0080000448226931, -0.4687893381118773, 0.11172741806507111]
[1.0100000190734866, -0.4846623232364653, 0.1121980563402176]
[1.0120000529289248, -0.5006045093536375, 0.11266869461536408]
[1.0170000481605532, -0.5183800449371336, 0.11384529030323029]
[1.0230000305175784, -0.5369340171813963, 0.11525720512866974]
[1.0310000467300418, -0.5569410314559935, 0.11713975822925568]
[1.0440000581741335, -0.580424844264984, 0.12019890701770783]
[1.065000026226044, -0.6096168746948241, 0.12514060890674591]
[7.895000247955323, 3.4763222942352305, 1.5983857975006104]
[7.859000473022462, 3.3267370471954356, 1.5905375347137451]
[7.8980005073547375, 3.2095984230041514, 1.5990398988723755]
[5.115000038146974, 1.9660048494338995, 0.992322193145752]
[5.087000160217286, 1.8694643983840948, 0.9862179622650147]
[5.093000202178956, 1.7862716922760016, 0.9875260457992554]
[5.126000194549562, 1.7122337827682501, 0.994720326423645]
[5.189000396728517, 1.6469366559982308, 1.0084547863006592]
[5.321000366210939, 1.6009958992004403, 1.0372319087982178]
[1.2520000028610232, -0.20080657207965835, 0.15015533721446991]
[1.1950000810623171, -0.2089735110998152, 0.13772884166240693]
[1.1620000886917117, -0.22013954722881302, 0.13053456103801728]
[1.1380000400543215, -0.23218357467651352, 0.12530236101150513]
[1.1170000720024111, -0.24412211680412277, 0.12072418785095215]
[1.1010000395774844, -0.2566291978359221, 0.11723604953289032]
[1.0860000538825991, -0.2688587596416472, 0.11396591520309449]
[1.0730000424385073, -0.2811565091609953, 0.11113180375099183]
[1.0630000519752505, -0.2939373245239256, 0.10895171916484833]
[1.0540000486373904, -0.3067002882957457, 0.10698965346813202]
[1.0450000452995303, -0.3191516687870024, 0.10502757287025452]
[1.0380000162124636, -0.33201739096641525, 0.1035015151500702]
